LBE,CONGRESSIONAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,PRECINCT,PARTY,POLLS,EARLY_VOING,ABSENTEE,PROVISIONAL,ELIGIBLE_VOTERS
Allegany,06,01C,001-000,DEMOCRAT,55,1,2,0,130
Allegany,06,01C,001-000,GREEN,0,0,0,0,0
Allegany,06,01C,001-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01C,001-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01C,001-000,REPUBLICAN,182,7,2,0,377
Allegany,06,01C,001-000,UNAFFILIATED,0,0,0,9,0
Allegany,06,01C,002-000,DEMOCRAT,52,3,2,1,187
Allegany,06,01C,002-000,GREEN,0,0,0,0,0
Allegany,06,01C,002-000,LIBERTARIAN,0,0,0,1,0
Allegany,06,01C,002-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01C,002-000,REPUBLICAN,195,6,11,0,402
Allegany,06,01C,002-000,UNAFFILIATED,0,0,0,5,0
Allegany,06,01C,003-000,DEMOCRAT,53,4,2,0,164
Allegany,06,01C,003-000,GREEN,0,0,0,0,0
Allegany,06,01C,003-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01C,003-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01C,003-000,REPUBLICAN,170,14,6,2,394
Allegany,06,01C,003-000,UNAFFILIATED,0,0,0,0,0
Allegany,06,01C,004-002,DEMOCRAT,72,9,4,0,348
Allegany,06,01C,004-002,GREEN,0,0,0,0,0
Allegany,06,01C,004-002,LIBERTARIAN,0,0,0,0,0
Allegany,06,01C,004-002,OTHER PARTIES,0,0,0,0,0
Allegany,06,01C,004-002,REPUBLICAN,63,2,2,0,203
Allegany,06,01C,004-002,UNAFFILIATED,0,0,0,2,0
Allegany,06,01C,004-003,DEMOCRAT,142,18,5,2,451
Allegany,06,01C,004-003,GREEN,0,0,0,0,0
Allegany,06,01C,004-003,LIBERTARIAN,0,0,0,1,0
Allegany,06,01C,004-003,OTHER PARTIES,0,0,0,0,0
Allegany,06,01C,004-003,REPUBLICAN,148,11,7,2,412
Allegany,06,01C,004-003,UNAFFILIATED,0,0,0,0,0
Allegany,06,01C,004-004,DEMOCRAT,191,42,14,0,589
Allegany,06,01C,004-004,GREEN,0,0,0,0,0
Allegany,06,01C,004-004,LIBERTARIAN,0,0,0,0,0
Allegany,06,01C,004-004,OTHER PARTIES,0,0,0,0,0
Allegany,06,01C,004-004,REPUBLICAN,225,32,13,0,569
Allegany,06,01C,004-004,UNAFFILIATED,0,0,0,0,0
Allegany,06,01C,004-005,DEMOCRAT,79,2,4,1,301
Allegany,06,01C,004-005,GREEN,0,0,0,1,0
Allegany,06,01C,004-005,LIBERTARIAN,0,0,0,0,0
Allegany,06,01C,004-005,OTHER PARTIES,0,0,0,0,0
Allegany,06,01C,004-005,REPUBLICAN,106,5,4,0,259
Allegany,06,01C,004-005,UNAFFILIATED,0,0,0,9,0
Allegany,06,01C,004-008,DEMOCRAT,172,16,12,2,514
Allegany,06,01C,004-008,GREEN,0,0,0,0,0
Allegany,06,01C,004-008,LIBERTARIAN,0,0,0,0,0
Allegany,06,01C,004-008,OTHER PARTIES,0,0,0,0,0
Allegany,06,01C,004-008,REPUBLICAN,203,13,8,0,472
Allegany,06,01C,004-008,UNAFFILIATED,0,0,0,2,0
Allegany,06,01B,005-004,DEMOCRAT,144,21,15,0,453
Allegany,06,01B,005-004,GREEN,0,0,0,0,0
Allegany,06,01B,005-004,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,005-004,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,005-004,REPUBLICAN,163,10,12,3,403
Allegany,06,01B,005-004,UNAFFILIATED,0,0,0,5,0
Allegany,06,01B,005-006,DEMOCRAT,56,3,1,0,182
Allegany,06,01B,005-006,GREEN,0,0,0,0,0
Allegany,06,01B,005-006,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,005-006,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,005-006,REPUBLICAN,104,4,0,2,237
Allegany,06,01B,005-006,UNAFFILIATED,0,0,0,1,0
Allegany,06,01C,006-001,DEMOCRAT,201,28,27,8,496
Allegany,06,01C,006-001,GREEN,0,0,0,1,0
Allegany,06,01C,006-001,LIBERTARIAN,0,0,0,0,0
Allegany,06,01C,006-001,OTHER PARTIES,0,0,0,2,0
Allegany,06,01C,006-001,REPUBLICAN,207,25,16,0,489
Allegany,06,01C,006-001,UNAFFILIATED,0,0,0,18,0
Allegany,06,01C,006-003,DEMOCRAT,92,26,10,10,290
Allegany,06,01C,006-003,GREEN,0,0,0,0,0
Allegany,06,01C,006-003,LIBERTARIAN,0,0,0,0,0
Allegany,06,01C,006-003,OTHER PARTIES,0,0,0,0,0
Allegany,06,01C,006-003,REPUBLICAN,76,14,4,3,217
Allegany,06,01C,006-003,UNAFFILIATED,0,0,0,6,0
Allegany,06,01C,006-005,DEMOCRAT,168,39,11,4,431
Allegany,06,01C,006-005,GREEN,0,0,0,0,0
Allegany,06,01C,006-005,LIBERTARIAN,0,0,0,0,0
Allegany,06,01C,006-005,OTHER PARTIES,0,0,0,0,0
Allegany,06,01C,006-005,REPUBLICAN,184,33,10,2,435
Allegany,06,01C,006-005,UNAFFILIATED,0,0,0,3,0
Allegany,06,01B,006-006,DEMOCRAT,136,33,7,4,499
Allegany,06,01B,006-006,GREEN,0,0,0,0,0
Allegany,06,01B,006-006,LIBERTARIAN,0,0,0,0,0
